"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","symbol"
"SPIN2B",0.144053816204209,7.16795843645311,4.10332789745707,0.000113184339081924,0.00199640071326151,0.917814852461786,"NOT","SPIN2B"
"ETV2",0.136310649554228,7.18893673861506,4.10306079792756,0.000113288632458607,0.00199640071326151,0.916950256290675,"NOT","ETV2"
"SIRPD",-0.188393668858693,7.44585224429673,-4.10166434332277,0.000113835411543162,0.0020034444134896,0.912430496107662,"NOT","SIRPD"
"ISOC2",0.229682464143552,7.41202913836534,4.10042285469627,0.000114323650092548,0.00200944098265896,0.908413055877675,"NOT","ISOC2"
"SMARCA5",-0.197837957019642,7.58694034692582,-4.09899650034588,0.000114887083232597,0.00201674207190005,0.903798273417759,"NOT","SMARCA5"
"IFIH1",0.539270814094635,8.25611833114992,4.09629632087286,0.00011596103856801,0.00202937597029144,0.895064777434393,"NOT","IFIH1"
"ZNF740",-0.091490443562118,7.27037351597416,-4.09622983575441,0.000115987603732811,0.00202937597029144,0.894849779717441,"NOT","ZNF740"
"HMMR",0.24561376803448,7.29664747984763,4.09606440944799,0.000116053727856191,0.00202937597029144,0.894314837646798,"NOT","HMMR"
"RPL27",0.598401796309586,12.2641055165761,4.09503228534506,0.000116467109554863,0.0020339935466107,0.890977525639649,"NOT","RPL27"
"FNBP1",-0.375171633735114,10.5923146116574,-4.09324975510497,0.00011718438588515,0.00204389974971512,0.885214983607171,"NOT","FNBP1"
"SFR1",-0.106089529371475,7.30303701724438,-4.09211541229788,0.000117643052042116,0.00204927577355205,0.881548661798671,"NOT","SFR1"
"FRY",-0.137689639198118,7.31963904272176,-4.09168626526935,0.000117817026466165,0.00204968522927472,0.880161766751565,"NOT","FRY"
"ALOX5",-0.546938949680085,12.5305512205792,-4.08709636746378,0.000119693332570673,0.00207967165341544,0.865333725825225,"NOT","ALOX5"
"SEC11C",0.572594932187167,8.2912024054276,4.08568141190528,0.000120277538556976,0.0020871600385008,0.860764571539314,"NOT","SEC11C"
"BEGAIN",-0.136710333369658,7.32514244179082,-4.08530305982935,0.000120434217480419,0.00208721998793673,0.859542960305295,"NOT","BEGAIN"
"PPIB",-0.165882935047851,7.35140291304834,-4.08410984952352,0.000120929625982946,0.00209314277654344,0.855690797075523,"NOT","PPIB"
"BIRC5",0.187797866320828,7.27089046300624,4.08356693868412,0.000121155686580967,0.00209439436878925,0.853938281794338,"NOT","BIRC5"
"CDCA5",0.325806601658512,7.48458108288594,4.08126596911274,0.000122118308197147,0.00210835943505898,0.846512280323875,"NOT","CDCA5"
"PEX11G",0.159895088689779,7.21704464793607,4.08015802548816,0.000122584447019464,0.0021137282750622,0.842937454521611,"NOT","PEX11G"
"REEP5",-0.396783188393247,9.16372234919782,-4.07904167958083,0.00012305585513651,0.00211917428403229,0.839336097493556,"NOT","REEP5"
"RAD21",-0.460643599730103,9.23079403016841,-4.0783932345041,0.000123330480797411,0.00212122198159385,0.837244466056307,"NOT","RAD21"
"REC8",0.242084990922488,7.80962552608354,4.07783772481478,0.000123566216688906,0.00212259647381624,0.835452764083788,"NOT","REC8"
"ZEB2",-0.363590331924156,8.17387083097995,-4.07701407844108,0.00012391653840576,0.00212593335788824,0.83279649801875,"NOT","ZEB2"
"TK1",0.256611235914795,7.50110794053976,4.07651610957838,0.000124128803711712,0.00212689630712069,0.831190698158299,"NOT","TK1"
"MTA2",0.208573749375728,7.99045137978993,4.07549970746036,0.000124563145599082,0.002131657247928,0.827913466401278,"NOT","MTA2"
"SDHC",-0.354398271135311,8.47079229607608,-4.07487639340123,0.000124830232226026,0.00213354758266365,0.825903925182364,"NOT","SDHC"
"EP300",-0.306627879411787,8.43978040331611,-4.0723253872913,0.000125929086908957,0.00214963160635817,0.817681469560778,"NOT","EP300"
"GSDMB",0.232513398494316,7.63647797581288,4.07189705494402,0.000126114504161759,0.00215010234754878,0.816301158294936,"NOT","GSDMB"
"JOSD2",0.244445086588299,7.52418292171664,4.07101927650212,0.000126495300744273,0.00215389873342312,0.81347276442233,"NOT","JOSD2"
"DPAGT1",0.271130456620549,7.56544866347928,4.07052584333822,0.000126709847430796,0.00215485835418515,0.811882973313329,"NOT","DPAGT1"
"SEMA3G",0.10455029080489,7.13546947424928,4.06726091539824,0.000128138312238639,0.00217643402657698,0.80136658297122,"NOT","SEMA3G"
"H2AC20",0.82614932574657,10.5050479862667,4.06627542237524,0.000128572523235772,0.00218108955357121,0.798193273925205,"UP","H2AC20"
"EMC9",0.128866574980579,7.34268198514524,4.06494713725312,0.000129160013057154,0.00218833046998078,0.793916887347866,"NOT","EMC9"
"NAPB",0.271210111924732,7.88630969425373,4.06430652005997,0.000129444276559143,0.00219042227986167,0.791854729304306,"NOT","NAPB"
"GAK",-0.371478273934494,9.42636272642749,-4.06252991006251,0.000130235775775968,0.00220108156032288,0.786136798012987,"NOT","GAK"
"PTPRG",0.0937834639464645,7.15901851017465,4.06152679796279,0.000130684730621082,0.00220593234265226,0.782908985921803,"NOT","PTPRG"
"SLC2A5",0.46271015645691,7.6130271450323,4.06010190365259,0.000131325023191006,0.00221399686374739,0.778324776403994,"NOT","SLC2A5"
"EPC1",-0.176325683957631,7.76594640960169,-4.05932264089167,0.000131676471107295,0.00221717786084496,0.775818114177106,"NOT","EPC1"
"CMTM5",0.758256475832837,8.39161893536088,4.0533871574634,0.000134383269951493,0.00225996160898671,0.756734759402744,"UP","CMTM5"
"PIK3R6",-0.100647721931082,7.2201318751517,-4.05172375433712,0.000135151407258972,0.00226815592301126,0.751389676867727,"NOT","PIK3R6"
"MFF",-0.24419779363263,7.79923476555514,-4.0516111929533,0.000135203539090085,0.00226815592301126,0.751028025794754,"NOT","MFF"
"RPS10",0.469934721619856,12.8987187334195,4.05106301996906,0.000135457697628719,0.00226962454747652,0.749266873516492,"NOT","RPS10"
"RETREG3",0.121269284613734,7.30737593705926,4.04996636256327,0.000135967540987003,0.00227536835789306,0.745743993681693,"NOT","RETREG3"
"TNFRSF10B",-0.535767084439682,8.64387972552127,-4.04539740277952,0.000138111641834346,0.00230841323321161,0.731072868669058,"NOT","TNFRSF10B"
"DICER1",-0.397940891593899,8.32262189925796,-4.04333419571053,0.000139090491790544,0.00232192485192499,0.724451054481253,"NOT","DICER1"
"SNRPF",0.491766611039196,8.91962227422834,4.04212413024963,0.000139667689245377,0.0023278512398381,0.720568314468125,"NOT","SNRPF"
"AQP1",0.124934950472753,7.20935392501994,4.04165971615155,0.000139889825244374,0.0023278512398381,0.719078331744605,"NOT","AQP1"
"ELAPOR1",-0.504317625854719,7.75719412622767,-4.04148624922492,0.000139972884229769,0.0023278512398381,0.718521822871067,"NOT","ELAPOR1"
"CDKN2AIP",-0.10730344601731,7.34585727501749,-4.04087970505596,0.00014026368163273,0.0023278512398381,0.716576046808007,"NOT","CDKN2AIP"
"CTNNB1",-0.191162784176477,7.64300648049733,-4.04080414937152,0.000140299946256576,0.0023278512398381,0.716333678564089,"NOT","CTNNB1"
"LSM5",0.439414242092589,8.80379440684674,4.0401754044424,0.000140602076686142,0.00232785797443515,0.714316889400475,"NOT","LSM5"
"CSK",-0.470491851504816,10.6647751534455,-4.04009214689535,0.000140642131328743,0.00232785797443515,0.71404984295811,"NOT","CSK"
"DUSP3",0.33708846228056,9.66569358457674,4.03848883583063,0.000141415619972567,0.00233781987289601,0.708907904165908,"NOT","DUSP3"
"LACTB",-0.334891501957616,8.73098367568835,-4.03784164945385,0.000141729002432239,0.00234016057106904,0.706832673882039,"NOT","LACTB"
"MTFP1",0.325844347461,7.77317340902673,4.03032585524146,0.000145417645333887,0.00239815879508258,0.682747511955647,"NOT","MTFP1"
"SLC35D2",0.162080045050227,7.48203962390031,4.02940836127437,0.000145874218045288,0.00240277944161175,0.679809141735733,"NOT","SLC35D2"
"RNF38",-0.277799959458111,9.17825151152684,-4.02712562721523,0.000147016171391258,0.00241866459745376,0.672500184053679,"NOT","RNF38"
"RPL36A",-0.344304817181047,7.72975372020272,-4.02485125375172,0.000148162498047101,0.00243458329119133,0.665220461020737,"NOT","RPL36A"
"LINC00575",0.0857371512394227,7.09897478430564,4.02075230600291,0.000150250205079405,0.00246591360673693,0.652106934549721,"NOT","LINC00575"
"MRPL38",0.244055426111633,7.642496489499,4.02026667791163,0.000150499416742551,0.0024670313536306,0.650553823269482,"NOT","MRPL38"
"LARP7",-0.263089420565748,7.79972956626643,-4.01665564046528,0.000152365024742367,0.00249461101807756,0.63900871435577,"NOT","LARP7"
"OGFRL1",-0.20158508535881,7.56793233126309,-4.01523763498172,0.000153103692909828,0.00250369568405484,0.63447680884168,"NOT","OGFRL1"
"ACOX1",-0.332547908783788,8.57214300561372,-4.01361096415031,0.000153955303600718,0.00251460329214507,0.629279198023353,"NOT","ACOX1"
"ABITRAM",-0.185199754374795,7.59480410521631,-4.00957910321858,0.000156085799970459,0.00254634822418874,0.616401872461915,"NOT","ABITRAM"
"GNAS",-0.589640409552914,12.7816391587102,-4.00891758802436,0.000156438052825284,0.00254904205213638,0.614289807818269,"NOT","GNAS"
"USP37",0.171342871146074,7.3201394709971,4.00804611384948,0.000156903275352109,0.00255356800101126,0.611507712749017,"NOT","USP37"
"PDIA3P1",-0.309499245476539,7.70561181763689,-4.00764283266976,0.00015711901082466,0.00255359279720938,0.610220400624689,"NOT","PDIA3P1"
"MZT2B",0.0908650409070253,7.11280239683426,4.00734275852052,0.000157279720808888,0.00255359279720938,0.609262585783459,"NOT","MZT2B"
"CCAR1",-0.0778675957498587,7.16768117370094,-4.00592507843956,0.000158041125480831,0.00256026901775332,0.604738037724486,"NOT","CCAR1"
"BUB1B",0.0984129268787148,7.16679418736801,4.00587734883893,0.000158066821606999,0.00256026901775332,0.604585724725127,"NOT","BUB1B"
"ZNF493",0.34841392245837,8.1478950659256,4.00434163004012,0.000158895753399561,0.00257054037171494,0.599685576727983,"NOT","ZNF493"
"POLR2C",-0.226907379176618,8.69381043828893,-4.00400434512678,0.000159078368327389,0.00257054037171494,0.59860952470721,"NOT","POLR2C"
"PARP14",0.420420647165583,8.27416667992114,4.00315266941074,0.000159540387085254,0.00257495160293285,0.595892636400999,"NOT","PARP14"
"CCDC121",-0.0661039498720255,7.15238249278102,-4.00045277057405,0.000161013582345978,0.002594675711952,0.587282125087531,"NOT","CCDC121"
"ADGRE5",-0.612281142124425,11.7063975532874,-4.00021596216125,0.000161143418904081,0.002594675711952,0.58652706322775,"NOT","ADGRE5"
"CD83",0.108829469184983,7.27525670243696,3.99946746824185,0.000161554463375146,0.00259720629373777,0.584140673120708,"NOT","CD83"
"ZMYM2",-0.221264192363105,7.65941983073001,-3.99923577104935,0.000161681906995275,0.00259720629373777,0.583402017763714,"NOT","ZMYM2"
"PYM1",0.197053437972266,7.82255431193161,3.99862203886828,0.000162019954175317,0.00259957104331705,0.581445551798867,"NOT","PYM1"
